rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
=111,University of Göttingen,23349,27.4,14,53,65.8,50.0,54.8,90.1,70.8,70.7,"Wilhelmsplatz 1 Aula, Gottingen, Lower Saxony, 37073, Germany",,,,,
=111,Université de Montréal,39935,20.5,22,,65.8,51.2,54.1,81.7,96.6,87.7,,,,,,
114,"University of Maryland, College Park",33988,17.0,9,49,65.7,49.4,58.1,92.8,70.2,48.6,"College Park, Prince George's County, Maryland, 20742, United States",,,,,
115,Ghent University,41487,37.6,12,57,65.6,47.2,59.3,85.3,99.7,65.7,"Sint Pietersnieuwstraat 33, Ghent, East Flanders, 9000, Belgium",,,,,
=116,University of Bern,12399,18.2,16,59,65.4,45.1,47.0,93.3,99.2,87.0,"Hochschulstrasse 4, Bern, CH-3012, Switzerland",,,,,
=116,Michigan State University,44514,16.1,11,52,65.4,54.8,52.3,86.2,70.0,71.4,"220 Trowbridge Road, East Lansing, Michigan, 48824, United States",,,,,
118,Texas A&M University,64427,20.5,6,47,65.3,55.2,62.1,77.3,76.4,64.1,"401 Joe Routt Boulevard, Rudder Tower, College Station, Texas, 77843-1372, United States",,,,,
=119,Rice University,7318,9.8,26,42,65.2,56.4,45.6,86.5,73.9,85.8,"6100 Main Street, Houston, Texas, 77005-1827, United States",,,,,
=119,University of Vienna,31318,37.4,31,66,65.2,48.7,60.3,77.4,75.9,94.9,"Universitatsring 1, Vienna, 1010, Austria",,,,,
121,University of Helsinki,22887,15.9,5,67,65.1,48.1,57.6,90.6,69.2,56.7,"P.O. Box 4, Yliopistonkatu 3, Helsinki, 00014, Finland",,,,,
122,Penn State (Main campus),45875,14.2,15,48,65.0,53.1,58.7,83.7,70.4,58.4,"201 Old Main, University Park, Pennsylvania, 16802, United States",,,,,
=123,University of Basel,8536,10.4,31,56,64.9,50.8,42.9,87.7,99.4,95.4,"PO Box 4001, Petersplatz 1, Basel, CH-4001, Switzerland",,,,,
=123,University of Massachusetts,63500,13.3,14,50,64.9,54.0,46.9,87.3,85.6,77.3,"One Beacon Street, 31st Floor, Boston, Massachusetts, MA 02108, United States",,,,,
